temporada,fase,jogo,data,adversario,local,pontos_pro,pontos_contra,prorrogacao,resultado,cestinha,pontos_cestinha
2025-26,temporada regular,42,January 15,New York,casa,126,113,nao,vitoria,Jimmy Butler III,32
2025-26,temporada regular,43,January 17,Charlotte,casa,136,116,nao,vitoria,De'Anthony Melton,24
2025-26,temporada regular,44,January 19,Miami,casa,135,112,nao,vitoria,Brandin Podziemski,24
2025-26,temporada regular,45,January 20,Toronto,casa,127,145,nao,derrota,Buddy Hield,25
2025-26,temporada regular,46,January 22,Dallas,fora,115,123,nao,derrota,Stephen Curry,38
2025-26,temporada regular,47,January 25,Minnesota,fora,111,85,nao,vitoria,Stephen Curry,26
2025-26,temporada regular,48,January 26,Minnesota,fora,83,108,nao,derrota,Quinten Post,13
2025-26,temporada regular,49,January 28,Utah,fora,140,124,nao,vitoria,Stephen Curry,27
2025-26,temporada regular,50,January 30,Detroit,casa,124,131,nao,derrota,Stephen Curry,23
2025-26,temporada regular,51,February 3,Philadelphia,casa,94,113,nao,derrota,"Santos, Spencer",13
2025-26,temporada regular,52,February 5,Phoenix,fora,101,97,nao,vitoria,Pat Spencer,20
2025-26,temporada regular,53,February 7,L.A. Lakers,fora,99,105,nao,derrota,Moses Moody,25
2025-26,temporada regular,54,February 9,Memphis,casa,114,113,nao,vitoria,Pat Spencer,17
2025-26,temporada regular,55,February 11,San Antonio,casa,113,126,nao,derrota,"''{{tooltip|Tied|Green, Melton, Moody}}''",17
2025-26,temporada regular,56,February 19,Boston,casa,110,121,nao,derrota,De'Anthony Melton,18
2025-26,temporada regular,57,February 22,Denver,casa,128,117,nao,vitoria,Moses Moody,23
2025-26,temporada regular,58,February 24,New Orleans,fora,109,113,nao,derrota,De'Anthony Melton,28
2025-26,temporada regular,59,February 25,Memphis,fora,133,112,nao,vitoria,Will Richard,21
2025-26,temporada regular,60,February 28,L.A. Lakers,casa,101,129,nao,derrota,Gui Santos,14
2025-26,temporada regular,61,March 2,L.A. Clippers,casa,101,114,nao,derrota,Brandin Podziemski,22
2025-26,temporada regular,62,March 5,Houston,fora,115,113,sim,vitoria,Brandin Podziemski,26
2025-26,temporada regular,63,March 7,Oklahoma City,fora,97,104,nao,derrota,Gui Santos,22
2025-26,temporada regular,64,March 9,Utah,fora,116,119,nao,derrota,De'Anthony Melton,22
2025-26,temporada regular,65,March 10,Chicago,casa,124,130,nao,derrota,"''{{tooltip|Tied|Cryer, Porziņģis, Santos, Spencer}}''",17
2025-26,temporada regular,66,March 13,Minnesota,casa,117,127,nao,derrota,Brandin Podziemski,25
2025-26,temporada regular,67,March 15,New York,fora,101,107,nao,derrota,Brandin Podziemski,25
2025-26,temporada regular,68,March 16,Washington,fora,125,117,nao,vitoria,Kristaps Porziņģis,30
2025-26,temporada regular,69,March 18,Boston,fora,99,120,nao,derrota,"Payton II, Spencer",14
2025-26,temporada regular,70,March 20,Detroit,fora,101,115,nao,derrota,Brandin Podziemski,15
2025-26,temporada regular,71,March 21,Atlanta,fora,110,126,nao,derrota,De'Anthony Melton,20
2025-26,temporada regular,72,March 23,Dallas,fora,137,131,sim,vitoria,Moses Moody,23
2025-26,temporada regular,73,March 25,Brooklyn,casa,109,106,nao,vitoria,Gui Santos,31
2025-26,temporada regular,74,March 27,Washington,casa,131,126,nao,vitoria,Kristaps Porziņģis,28
2025-26,temporada regular,75,March 29,Denver,fora,93,116,nao,derrota,"Podziemski, Porziņģis",23
2025-26,temporada regular,76,April 1,San Antonio,casa,113,127,nao,derrota,Nate Williams,18
2025-26,temporada regular,77,April 2,Cleveland,casa,111,118,nao,derrota,"Podziemski, Santos",25
2025-26,temporada regular,78,April 5,Houston,casa,116,117,nao,derrota,Stephen Curry,29
2025-26,temporada regular,79,April 7,Sacramento,casa,110,105,nao,vitoria,De'Anthony Melton,21
2025-26,temporada regular,80,April 9,L.A. Lakers,casa,103,119,nao,derrota,"Podziemski, Williams",17
2025-26,temporada regular,81,April 10,Sacramento,fora,118,124,nao,derrota,Brandin Podziemski,30
2025-26,temporada regular,82,April 12,L.A. Clippers,fora,110,115,nao,derrota,Stephen Curry,24
2025-26,play-in,1,April 15,L.A. Clippers,fora,126,121,nao,vitoria,Stephen Curry,35
2025-26,play-in,2,April 17,Phoenix,fora,96,111,nao,derrota,Brandin Podziemski,23
